id,height,weight,bmi-gt,class-gt,CJWR,WHR,PAR,ES,FWR,MEH,CFR,CFR-HZJ,CFR-NSJ,CFR-FHH,CFR-FHN
293341.jpg,1.63,58.97,22.2,b,1.1771236389546134,1.548637211297769,0.02368626078062986,37.50318969535855,1.3376623376623376,29.698528118021546,0.3976158940397351,0.0025819213898684097,0.002338755177793763,0.43895701077240856,0.3601682973802395
293364.jpg,1.68,68.04,24.11,b,1.2132446195103934,1.5489343593102696,0.019766611391800512,38.528885961928495,1.308893055465285,36.524523193985466,0.4559599671605614,0.0023871922408850153,0.0022451277598598595,0.4848116509092652,0.42882527939075793
293385.jpg,1.8,81.19,25.06,c,1.1856048555647825,1.5039106975254464,0.020344196421451386,38.51235458501503,1.2104784049818544,28.478598956124042,0.4104399368123803,0.0021599409658097295,0.0020832099165360245,0.4255577061573989,0.3958592202493048
293419.jpg,1.7,81.65,28.25,c,1.3065427440036983,1.606533529404591,0.027421532980224678,31.00227268031749,1.3453237410071943,21.667588474472485,0.3897632946624301,0.002804052479585828,0.0028449117657742243,0.38416542333512355,0.39544273544261715
293439.jpg,1.8,77.11,23.8,b,1.2611379030615768,1.5373310089171996,0.021765918489551,40.99727971426249,1.3429828040413587,34.06650456138191,0.39514473333646777,0.0022971978060285937,0.0021951130219139757,0.41352112871747165,0.37758496347650145
293448.jpg,1.73,72.57,24.25,b,1.196946602295853,1.4425770670533575,0.02269736892330427,41.047632128753946,1.2788022403329706,27.43810107306116,0.41968642022468006,0.002543554061967758,0.002344031687748936,0.4554098412979857,0.3867652284785744
293458.jpg,1.68,72.57,25.71,c,1.1311411912379796,1.3086913459225407,0.02612057027748431,26.00280890011326,1.0517573797969393,29.181456655839824,0.43572201062679267,0.0028101741517458046,0.0025465148472818325,0.48083549676418147,0.3948412124776339
293520.jpg,1.88,90.72,25.67,c,1.1989074040533507,1.5762373669545595,0.022621100667422997,37.997671833093406,1.376543209876543,23.97271930465546,0.4235820440256901,0.002614703975467223,0.002406677312098951,0.46019532775857536,0.3898817245600301
293536.jpg,1.8,83.91,25.9,c,1.208465220104951,1.7422285133016215,0.01752937593171417,52.50883253304615,1.3175483853672083,38.901209576812676,0.39164596273291924,0.0018553920134083072,0.0019101045324964583,0.3804277614003375,0.4031949707360633
293599.jpg,1.78,104.33,32.93,d,1.1871328699629915,1.7397988959306645,0.02004610896837034,42.5,1.4432517567531264,30.6763300719353,0.4422117923144617,0.0025122020712506038,0.002484179107137978,0.4472001947813374,0.4372790341864346
293607.jpg,1.91,104.33,28.6,c,1.1853077716972527,1.4427868318672488,0.021314526707953106,39.49793645601197,1.2873702290535767,35.276781492936315,0.40259340253180154,0.0023134113642138397,0.002107356785104463,0.44195845675388007,0.36673457716500685
293613.jpg,1.75,79.38,25.92,c,1.222735083126871,1.5984569316720205,0.018613934485384183,49.002266592704025,1.2524271844660195,28.370965835848413,0.39310408943533487,0.0019082722788123052,0.0019074633651095056,0.39327079632490736,0.3929374532125582
293615.jpg,1.75,74.84,24.44,b,1.230256428200717,1.5232755299932628,0.018158365619410907,49.99816580175085,1.422119431049936,38.5978077916859,0.4151890482398957,0.002086377126833647,0.001940135739438765,0.4464847051424004,0.38608701214831426
293626.jpg,1.83,95.25,28.44,c,1.2163930608425662,1.7177608661685917,0.019055282054527826,45.49103984252976,1.3081414434397998,23.396816915415254,0.4062738079402126,0.0020512339973868176,0.0020939445359029756,0.397986972818931,0.4147331905090675
293634.jpg,1.75,72.57,23.7,b,1.1992596517958216,1.5995323506101335,0.025569673354707976,33.51429179979317,1.3062932566415237,20.601098624705468,0.40361748085440624,0.002745125545218109,0.002655320699614169,0.417268112793685,0.39041341970888904
293727.jpg,1.68,68.04,24.11,b,1.1651258315969708,1.5372887395374304,0.019925823030248948,41.50052728958729,1.283449320478356,40.7897822959875,0.3833053070558956,0.002049643777320411,0.0018881118493600801,0.41609787984079183,0.35309710896251223
293757.jpg,1.88,63.5,17.97,a,1.2053802314318134,1.5701204577875951,0.021054443793508945,38.499063689695845,1.2513888636252337,26.162238331606147,0.42583746254042665,0.002326668050464834,0.0022412187612482213,0.44207305235657646,0.4101981415429102
293789.jpg,1.7,72.57,25.11,c,1.1958476202811927,1.704438004414091,0.022397640204042286,38.01274336717253,1.4312609984268672,34.049241139248146,0.43556961396419525,0.0027220974317209005,0.0025771545335014894,0.4600666790037931,0.41237693853362917
293813.jpg,1.7,58.97,20.4,b,1.2462277242917907,1.2803730987468565,0.020127566321196163,41.02503681370813,1.062200956937799,35.99392261305968,0.4217386576779841,0.0020178883142487275,0.001950404707263445,0.4363307296306681,0.40763458381805995
293814.jpg,1.73,81.65,27.28,c,1.2421623056261188,1.8833653178235672,0.020596422245737833,41.01171865739509,1.2887960035204586,27.385022921424518,0.3696371961958436,0.0019766412358108733,0.0021612884477182023,0.33805766419637223,0.40416671852810726
293826.jpg,1.78,81.65,25.77,c,1.2127319784815254,1.4961751036406565,0.01905892578971314,45.991367009681916,1.2865255700945102,31.147961481277644,0.4136189989536949,0.0020780676732724975,0.0019790382725057174,0.434316143713952,0.39390816752170593
293844.jpg,1.78,79.38,25.05,c,1.2318616878994237,1.53247205137167,0.027491648665519636,32.99916221936907,1.2168369446110112,19.53985402787789,0.37582334384858046,0.0026275571159485797,0.0025731669510097865,0.3837672876536069,0.3680438388719994
293851.jpg,1.88,90.72,25.67,c,1.2071150944714115,1.625,0.02542762563331946,34.013678576969475,1.478239819526099,23.101957022078647,0.406678719557588,0.0029468698741520723,0.0028044140677507185,0.42733677630001193,0.3870193021367506
293878.jpg,1.6,58.97,23.04,b,1.1987951807228916,1.6767676767676767,0.0250434599607698,35.997423394475945,1.3445945945945945,26.980356369997917,0.3895646005883212,0.0026321932472183865,0.0025798414447724687,0.39746989610609335,0.38181653382632535
293900.jpg,1.7,84.37,29.19,c,1.1670548067770834,1.833233189935535,0.01976041008185709,41.00172411743047,1.2843200416879328,30.85701957487201,0.41169969211336543,0.0021665704305314764,0.002201602631622275,0.4051486705093861,0.4183566399789362
